code,name
AUS,Australia
AUT,Austria
BEL,Belgium
BGR,Bulgaria
BLR,Belarus
CAN,Canada
CHE,Switzerland
CHL,Chile
CZE,Czech Republic
DEUTE,East Germany
DEUTFRG,West Germany (Federal Republic of Germany)
DEUTGDR,East Germany (German Democratic Republic)
DEUTNP,Germany
DEUTW,West Germany
DNK,Denmark
ESP,Spain
EST,Estonia
FIN,Finland
FRACNP,France (Civilian)
FRATNP,France (Total)
GBR_NIR,Northern Ireland
GBR_NP,United Kingdom
GBR_SCO,Scotland
GBRCENW,England & Wales (Civilian)
GBRTENW,England & Wales (Total)
HUN,Hungary
HRV,Croatia
IRL,Ireland
ISL,Iceland
ISR,Israel
ITA,Italy
JPN,Japan
KOR,South Korea
LTU,Lithuania
LUX,Luxembourg
LVA,Latvia
NLD,Netherlands
NOR,Norway
NZL_MA,New Zealand (Maori)
NZL_NM,New Zealand (Non-Maori)
NZL_NP,New Zealand
POL,Poland
PRT,Portugal
RUS,Russia
SVK,Slovakia
SVN,Slovenia
SWE,Sweden
TWN,Taiwan
UKR,Ukraine
USA,United States
